"id","customer_id","company","add_1","add_2","contact","country","county","dnprices","email","email2","fax","inv_opt","memo","phone_1","phone_2","post_code","town","vat_num","website","zid"
145,"RYD","Ryde School","7 Queens Road","","","office 562229","Isle of Wight",t,"margaret 617918 lucie 617919","bw@rydeschool.net","",0,"07950795286 TERRY","01983 617946","TERRY CHEF","PO33 3BE","Ryde","","","1099166000001224080"
146,"SAIL","Sail and Surf","Esplanade","","Neil and Marie","","Isle of Wight",t,"","","",0,"","","","PO37 6BG","Shanklin","","","1099166000000170369"
148,"SAN","Sandown Airfield Ltd","Scotchells Brook Lane","","Dan Subhani","","Isle of Wight",t,"manager@eghn.org.uk","","",0,"","01983 716926","07900894044","PO36 0JP","Sandown","","","1099166000005310259"
149,"SAN3","Sandhill Hotel","6 Hill Street","","Dave Simpson / Andy Topp","","Isle of Wight",t,"info@sandhill-hotel.co.uk","","",0,"","01983 403635","","PO36 9DB","Sandown","","","1099166000002498304"
150,"SCU","Scullery","54 Regent Street","","","","Isle of Wight",t,"scullery54@mail.com","","loz 07855046625",0,"Lawrence Stinton/ Laura","01983 862923","07960284306","PO37 7AE","Shanklin","","","1099166000000644509"
152,"SFM","Superior Food Machinery","Wych Fold","Gee Cross","","","Cheshire",t,"","","",0,"","01613661777","","SK14 5ED","Hyde","","","1099166000000644533"
153,"SHA","Helen Broadhead / Shanklin Sandown Golf Club","Fairway","","","","Isle of Wight",t,"helensbistrowiow@gmail.com","","",0,"","07964705612 Helen","","PO36 9PR","Lake Sandown","","","1099166000000644545"
155,"SHA5","Shanklin Hotel Leisureplex","Clarendon Road","","Daniel Boyden - Manager ","","Isle of Wight",t,"","shanklin@leisureplex.co.uk","",0,"","01983 862286","","PO37 6DP","Shanklin","","","1099166000000644557"
156,"SHEA","Shearings Hotel Ltd / Broadway Park Hotel","Melville Street","","","","Isle of Wight",t,"","bryan.pitman@shearings.com","",0,"A/c  01803 290029 Brian Pitman. E-FOODS 0161 337 9154 OPT 6","01983 405214","01942823524 Acc","PO36 9DJ","Sandown","","","1099166000000644569"
157,"SLU","SLUSH CAFE","SANDS HOTEL","CULVER PARADE","TREVOR CORNWALL","","ISLE OF WIGHT",t,"","","",0,"","07749965268","","","SANDOWN","","","1099166000000170379"
158,"SMO","Smoking Lobster","Esplanade,","","Adam / G.C","","Isle of Wight",t,"smokinglobster@outlook.com","","",0,"","01983 855938","","PO38 1JT","Ventnor","","","1099166000001200164"
159,"SOM2","Somerton Lodge Hotel","43 Victoria Ave","","John Elford","","Isle of Wight",t,"ourislandhotel1@icloud.com","","",0,"","01983862710","","PO37 6LT","Shanklin","","","1099166000000644581"
160,"SOU","SOUTH EAST BEACH CAFE","","ESPLANADE","lee pardy","","ISLE OF WIGHT",t,"","","",0,"","01983 645481","","","SHANKLIN","","","1099166000001200189"
161,"SPIN","The Spinnaker ","1 Steyne Rd,","","","","Isle of Wight",t,"martin@innsofdistinction.co.uk","","",0,"","01983 873572","","PO35 5UH","Bembridge","","","1099166000005066364"
163,"SPS","Gurit (UK) Ltd","Monks Brook","St Cross Business Park","","","Isle of  Wight",t,"julie.cameron@gurit.com","ian.roome@gurit.com","",0,"","01983 828000 ext 211","","PO30 5WU","Newport","","","1099166000000644605"
164,"SPY","Spyglass Inn","Esplanade","","","","Isle of Wight",t,"rachel@harrisonblack.co.uk","adam@thespyglass.com","",0,"rosie 07701094988","01983 855338","","PO38 1JT","Ventnor","","","1099166000000644617"
165,"SQUAD","Royal Yacht Squadron","The Castle","The Parade","PAUL HEAD CHEF","","Isle of Wight",t,"mail@rys.org.uk/paul@rys.org.uk","","01983 200253",0,"07912287548 PAUL - WIFE WENDY","01983 292191","01983 300459 Paul ho","PO31 7QT","Cowes","","","1099166000000170389"
166,"STA","The Star Hotel(Great Yarmouth )Ltd","24 Hall Quay","","","","Norfolk",t,"info@thestarhotelgreatyarmouth.co.uk","info@stargy.co.uk","",0,"07753349152 Gez","01493842294","07951372193","NR30 1HG","Great Yarmouth","","","1099166000000644629"
168,"STE","Steamer Inn","Esplanade","","Dan head chef","","Isle of Wight",t,"thesteamer@btconnect.com","","",0,"Scott/Richard chefs","01983 862641","","","Shanklin","","","1099166000000170409"
169,"SUN","Character Inns IOW Ltd / The Sun Hulverstone","Hulverstone","","","","Isle of Wight",t,"info@sunhulverstone.co.uk","","",0,"","01983741124","","PO30 4EH","","","","1099166000005013114"
170,"SUR","Surfside Bar & Grill","46 High St","","Danny Palmer","","Isle of Wight",t,"","","",0,"","07931500524","","PO36 8AE","Sandown","","","1099166000007421049"
171,"TER","Terrys Takeaway Ltd ","35 High Street","","","","Isle of Wight",t,"terryschipshop@gmail.com","","",0,"","01983 882235","","PO33 4LU","Wootton","","","1099166000000644653"
172,"TER2","The Terrace","Quay St","","","","Isle of Wight",t,"phil.iow@btinternet.com","","",0,"","01983 303013","","PO410PB","Yarmouth","","","1099166000007421009"
176,"TIN","Tina Marney ","Coast Car Sales","","","","Isle of Wight",t,"","","",0,"","07581067880","","","Lake","","","1099166000009800293"
178,"TOUR","Le Tour Du Monde","11 High Street","","Tony & Jane Wherrett","","Isle of Wight          07798867747",t,"letourdumondeventnor@gmail.com","","",0,"door number 260117*","","07798867747","PO38 1RZ","Ventnor","","","1099166000002498335"
179,"TRAM","Italian Cuisine Ltd / Tramezzini","14 High Street","","Adam / G.C","","Isle of Wight",t,"smokinglobster@outlook.com","","",0,"","01983 855510","07980134943 carl","PO38 1RZ","Ventnor","","","1099166000003492047"
180,"TUR","PC TURNERS","","","","","",t,"","","",0,"","","","","","","","1099166000000644677"
181,"UKS","United Kingdom Sailing Academy","Arctic Road","","","","Isle of Wight",t,"amanda.coldwell@uksa.org","","",0,"MARK RANDERSON IS HEAD CHEF","203031/294941 Recep","203049 Amanda","PO31 7QB","Cowes","","","1099166000000644687"
182,"VEN","Paul Whitewood t/as Ventnor Butchers","High Street","","","","Isle of Wight",t,"","","",0,"","07834900673","01983 854330","","Ventnor","","","1099166000000644699"
183,"VER","Vernon Cottage","High Street","Old Village","Paul De Vere","","Isle of  Wight",t,"paul@deveremedia.com","paul@deveremedia.com","",0,"","01983 865411","07733882453","PO37 6AA","Shanklin","","","1099166000000170439"
184,"VEST","CH&Co Catering Ltd/ Vestas Technology","West Medina Mills","Stag Lane","","","Isle of Wight",t,"david.ardis@chandcogroup.com","","",0,"07986955762 BEN CHEF MOB","01983 288000","07585880658 DAVID","PO30 5TR","Newport","","","1099166000001200239"
187,"VILL","Ye Olde Village Inn","61 High St","","Jay / Troy ","","Isle Of Wight",t,"oldvillageinn@btinternet.com","","",0,"Jay = Boss Troy = Chef","01983 872616","","PO35 5SF","Bembridge","","","1099166000002498366"
188,"VIN","The Vine Inn","School Green Lane","","Sam Keen","","Isle of Wight",t,"","","",0,"","01983 752 959","07748123987 Sammi","PO40 9UP","Freshwater","","","1099166000003473059"
190,"WAF","W A Foods","","","","","",t,"","","",0,"","","","","","","","1099166000000644711"
191,"WAT4","Messina Bay Ltd t/a The Waterfront","The Promenade","","ADRIAN BOLTON","","Isle  of Wight",t,"","adrianjohnbolton@gmail.com","",0,"ian is head chef","01983 756969","07789687104 adrians","PO39 0BQ","TOTLAND","","","1099166000003473087"
192,"WAV","Waverley Park Partnership","51 Old Rd,","","Julian Adams","","Isle of Wight",t,"julianrogeradams@gmail.com","","",0,"","01983 293452","","PO32 6AW","East Cowes","737006645","","1099166000009556376"
193,"WHI3","Holmes Pub Company Ltd t/a White Lion Niton","High Street","","Steve Harris","","Isle of Wight",t,"mark@chequersinn-iow.co.uk","steve@chequersinn-iow.co.uk","",0,"","01983 719402","","PO38 2AT","Niton","","","1099166000009094244"
194,"WHI6","White Horse Inn","High Street","","","","Isle of Wight",t,"alison657blue@hotmail.com/ info@whitehorseiow.co.uk","rachel.sharp91@hotmail.com","",0,"Alison home, 2B Montrose Kenning Road","01983 730375","07808883616 Alison","PO38 2PY","Whitwell","","","1099166000000644733"
195,"WIG","Wight Mouse","91 High Street",,"ANDY OR CHERYL","United Kingdom","Isle of Wight",t,"info@wightmouse.com",,,0,"Andy mob 07855481777","01983 730431","NIKKI 07722863222",,"Chale",,,"1099166000000170459"
197,"WIG5","The Wight Bay Hotel","2 Royal St, Sandown","","Cameron (HEAD CHEF)","","Isle of Wight",t,"p.harrison@wightbayhotel.com","info@wightbayhotel.com","",0,"Aronex Developments Head Office 02071188664 / 07856807584 MIKE BOOKER MANAGER","07769180692","01983 402518","PO36 8LP","Sandown","","","1099166000000644745"
198,"WILK","Wilkinsons Pies","Corner High St & Melville St","","Kevin","","Isle of Wight",t,"","","",0,"","07716106926","","","Sandown","","","1099166000000148593"
199,"WIN","HAMBROUGH GROUP","WINTER GARDENS","PIER STREET","KEVIN SUSSMICH","","ISLE OF WIGHT",t,"","","",0,"JADE FRONT OFFICE","01983 857757","","PO38 1S2","VENTNOR","","","1099166000000147513"
200,"WIND","Windmill Wood Farm ","","","","","",f,"","","",0,"","","","","","","",""
201,"WOO1","Woods Kitchen Ltd","High St","","Teri Woods","","Isle of Wight",t,"woodskitcheniw@gmail.com","","",0,"Accounts Contact Darren Wood  Telephone 01983 866314","01983 840909","07929521298 TERI","PO38 3HH","Godshill","","","1099166000001848127"
203,"YACHT","Character Inns IOW Ltd / Yachtsman","Osbourne Court, The Parade","","","","Isle of Wight",t,"info@theyachtsman.co.uk","","",0,"","01983299618","","PO31 7QS","Cowes","","","1099166000005013064"
204,"YAR","Yarmouth Deli Ltd","The Square","","ALEX OR GRAHAM","","Isle of Wight",t,"","","07540269328",0,"PENNY IS ALEX'S MUM","01983 761196","home 761726","PO41 ONS","Yarmouth","","","1099166000000170469"
206,"ZOO","Isle of Wight Zoo","Yaverland Rd","","","Isle of Wight","Sandown",t,"suzette.hankin@isleofwightzoo.com","","",0,"","01983 403883","07904096148","PO368QB","Yaverland","","","1099166000003574716"
353,"ZZLAN","Langham Court","48-52 Atherley Road","","Hazel Colson","","Isle of  Wight",t,"","","01983 861300",0,"","01983 861500","07506190310","PO37 7AU","Shanklin","","",""
454,"ZZTRO","Trouville Hotel","10-16 Esplanade","","","","Isle of  Wight",t,"","","01983 403143",0,"Helen (chef)","01983 402141","","PO36 8LB","Sandown","","",""
456,"ZZUNI2","Union Inn","Watchbell Lane","","Olivia  Adams","","Isle of Wight",t,"","","",0,"","","07969570307 Mike","","Cowes","","",""
